Airport ID;Name;City;Country;Latitude;Longitude
87;Kelowna International Airport;Kelowna;Canada;49.95610046;-119.3779984
88;Mayo Airport;Mayo;Canada;63.61640167;-135.8679962
89;Moose Jaw Air Vice Marshal C. M. McEwen Airport;Moose Jaw;Canada;50.33029938;-105.5589981
90;Fort McMurray Airport;Fort Mcmurray;Canada;56.65330124;-111.2220001
91;Moosonee Airport;Moosonee;Canada;51.29109955;-80.60780334
92;Maniwaki Airport;Maniwaki;Canada;46.27280045;-75.99060059
93;Montreal International (Mirabel) Airport;Montreal;Canada;45.679501;-74.038696
94;Natashquan Airport;Natashquan;Canada;50.18999863;-61.78919983
95;Ottawa / Gatineau Airport;Gatineau;Canada;45.52170181;-75.56359863
96;Matagami Airport;Matagami;Canada;49.76169968;-77.80280304
97;Old Crow Airport;Old Crow;Canada;67.57060242;-139.8390045
98;CFB Cold Lake;Cold Lake;Canada;54.40499878;-110.2789993
99;High Level Airport;High Level;Canada;58.62139893;-117.1650009
100;Ottawa Macdonald-Cartier International Airport;Ottawa;Canada;45.32249832;-75.66919708
101;Prince Albert Glass Field;Prince Albert;Canada;53.21419907;-105.6729965
102;Peace River Airport;Peace River;Canada;56.226898;-117.446999
103;Southport Airport;Portage-la-prairie;Canada;49.903099;-98.273817
104;Pitt Meadows Airport;Pitt Meadows;Canada;49.21609879;-122.7099991
105;Pickle Lake Airport;Pickle Lake;Canada;51.44639969;-90.21420288
106;Port Menier Airport;Port Menier;Canada;49.83639908;-64.28859711
107;Peterborough Airport;Peterborough;Canada;44.22999954;-78.36329651
108;Prince Rupert Airport;Prince Pupert;Canada;54.28609848;-130.4450073
109;Fort Chipewyan Airport;Fort Chipewyan;Canada;58.76720047;-111.1169968
110;Muskoka Airport;Muskoka;Canada;44.97470093;-79.30329895
111;Quebec Jean Lesage International Airport;Quebec;Canada;46.7911;-71.393303
112;Red Deer Regional Airport;Red Deer Industrial;Canada;52.18220139;-113.8939972
113;Windsor Airport;Windsor;Canada;42.27560043;-82.95559692
114;Watson Lake Airport;Watson Lake;Canada;60.11640167;-128.8220062
115;Kenora Airport;Kenora;Canada;49.78829956;-94.36309814
116;Lethbridge County Airport;Lethbridge;Canada;49.63029861;-112.8000031
117;Greater Moncton International Airport;Moncton;Canada;46.11220169;-64.6785965
118;Comox Airport;Comox;Canada;49.71080017;-124.887001
119;Regina International Airport;Regina;Canada;50.43190002;-104.6660004
120;Thunder Bay Airport;Thunder Bay;Canada;48.37189865;-89.32389832
121;Grande Prairie Airport;Grande Prairie;Canada;55.17969894;-118.8850021
122;Yorkton Municipal Airport;Yorkton;Canada;51.26470184;-102.461998
123;North Battleford Airport;North Battleford;Canada;52.76919937;-108.2440033
124;Gander International Airport;Gander;Canada;48.93690109;-54.56809998
125;Sydney / J.A. Douglas McCurdy Airport;Sydney;Canada;46.1614;-60.047798
126;Quesnel Airport;Quesnel;Canada;53.02610016;-122.5100021
127;Resolute Bay Airport;Resolute;Canada;74.71690369;-94.9693985
128;Rivière-du-Loup Airport;Riviere Du Loup;Canada;47.76440048;-69.58470154
129;Roberval Airport;Roberval;Canada;48.52000046;-72.26560211
130;Rocky Mountain House Airport;Rocky Mountain House;Canada;52.42969894;-114.9039993
131;Rankin Inlet Airport;Rankin Inlet;Canada;62.81140137;-92.11579895
132;Sudbury Airport;Sudbury;Canada;46.625;-80.79889679
133;Sherbrooke Airport;Sherbrooke;Canada;45.43859863;-71.69139862
134;Saint John Airport;St. John;Canada;45.31610107;-65.89029694
135;Fort Smith Airport;Fort Smith;Canada;60.02030182;-111.961998
136;Nanisivik Airport;Nanisivik;Canada;72.982201;-84.613602
137;Summerside Airport;Summerside;Canada;46.44060135;-63.83359909
138;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Sachs Harbour;Canada;71.99389648;-125.2429962
139;Cape Dorset Airport;Cape Dorset;Canada;64.23000336;-76.52670288
140;Thompson Airport;Thompson;Canada;55.80110168;-97.86419678
141;CFB Trenton;Trenton;Canada;44.1189003;-77.52809906
142;Timmins/Victor M. Power;Timmins;Canada;48.56969833;-81.37670136
143;Billy Bishop Toronto City Centre Airport;Toronto;Canada;43.627499;-79.396202
144;Tuktoyaktuk Airport;Tuktoyaktuk;Canada;69.4332962;-133.026001
145;Montreal / Pierre Elliott Trudeau International Airport;Montreal;Canada;45.47060013;-73.74079895
146;Repulse Bay Airport;Repulse Bay;Canada;66.52140045;-86.22470093
147;Hall Beach Airport;Hall Beach;Canada;68.77610016;-81.2425
148;Rouyn Noranda Airport;Rouyn;Canada;48.20610046;-78.83560181
149;La Ronge Airport;La Ronge;Canada;55.15140152;-105.262001
150;Vermilion Airport;Vermillion;Canada;53.35580063;-110.8239975
151;Qikiqtarjuaq Airport;Broughton Island;Canada;67.54579926;-64.03140259
152;Val-d'Or Airport;Val D'or;Canada;48.05329895;-77.78279877
153;Kuujjuaq Airport;Quujjuaq;Canada;58.09609985;-68.42690277
154;Norman Wells Airport;Norman Wells;Canada;65.28160095;-126.7979965
155;Vancouver International Airport;Vancouver;Canada;49.19390106;-123.1839981
156;Buffalo Narrows Airport;Buffalo Narrows;Canada;55.84189987;-108.4179993
157;Wiarton Airport;Wiarton;Canada;44.7458;-81.107201
158;Petawawa Airport;Petawawa;Canada;45.95220184;-77.31919861
159;Winnipeg / James Armstrong Richardson International Airport;Winnipeg;Canada;49.90999985;-97.23989868
160;Wabush Airport;Wabush;Canada;52.9219017;-66.86440277
161;Williams Lake Airport;Williams Lake;Canada;52.18310165;-122.0540009
162;Wrigley Airport;Wrigley;Canada;63.20940018;-123.4369965
163;Cranbrook/Canadian Rockies International Airport;Cranbrook;Canada;49.6108017;-115.7819977
164;Edmonton City Centre (Blatchford Field) Airport;Edmonton;Canada;53.57249832;-113.5210037
165;Saskatoon John G. Diefenbaker International Airport;Saskatoon;Canada;52.17079926;-106.6999969
166;Medicine Hat Airport;Medicine Hat;Canada;50.01890182;-110.7210007
167;Fort St John Airport;Fort Saint John;Canada;56.23809814;-120.7399979
168;Sioux Lookout Airport;Sioux Lookout;Canada;50.11389923;-91.90529633
169;Pangnirtung Airport;Pangnirtung;Canada;66.14499664;-65.71360016
170;Earlton (Timiskaming Regional) Airport;Earlton;Canada;47.69740065;-79.84734535
171;Prince George Airport;Prince George;Canada;53.88940048;-122.6790009
172;Northwest Regional Airport Terrace-Kitimat;Terrace;Canada;54.468498;-128.576009
173;London Airport;London;Canada;43.035599;-81.1539
174;Abbotsford Airport;Abbotsford;Canada;49.02529907;-122.3610001
175;Whitehorse / Erik Nielsen International Airport;Whitehorse;Canada;60.70959854;-135.0670013
176;North Bay Jack Garland Airport;North Bay;Canada;46.363602;-79.422798
177;Calgary International Airport;Calgary;Canada;51.11389923;-114.0199966
178;Smithers Airport;Smithers;Canada;54.8246994;-127.1829987
179;Fort Nelson Airport;Fort Nelson;Canada;58.83639908;-122.5970001
180;Penticton Airport;Penticton;Canada;49.46310043;-119.6019974
181;Charlottetown Airport;Charlottetown;Canada;46.29000092;-63.12110138
182;Taloyoak Airport;Spence Bay;Canada;69.54669952;-93.5766983
183;Victoria International Airport;Victoria;Canada;48.64690018;-123.4260025
